Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
56770-21612,SS,Nick,Nick Ahmed,Ahmed,8.987719084087171,57,2200,CIN@ARI,ARI,CIN,IL,Knee,,,,SS/UTIL
56770-12919,SS,Jose,Jose Iglesias,Iglesias,5.149999936421712,6,2200,LAA@TOR,LAA,TOR,,,,,,SS/UTIL
56770-82624,C,Sean,Sean Murphy,Murphy,3,4,2200,OAK@HOU,OAK,HOU,,,,,,C/1B/UTIL
56770-82626,OF,Adam,Adam Haseley,Haseley,4.279999923706055,5,2200,PHI@ATL,PHI,ATL,,,,,,OF/UTIL
56770-109803,C,Austin,Austin Nola,Nola,9.704166412353516,48,2200,SD@TEX,SD,TEX,IL,Finger,,,,C/1B/UTIL
56770-70435,OF,Ben,Ben Gamel,Gamel,3.049999952316284,4,2200,DET@CLE,CLE,DET,,,,,,OF/UTIL
56770-118120,C,Jonah,Jonah Heim,Heim,18.450000762939453,2,2200,SD@TEX,TEX,SD,,,,,,C/1B/UTIL
56770-68470,OF,JaCoby,JaCoby Jones,Jones,4.675000190734863,4,2200,DET@CLE,DET,CLE,,,,,,OF/UTIL
56770-68478,2B/OF,Chad,Chad Pinder,Pinder,7.050000190734863,4,2200,OAK@HOU,OAK,HOU,IL,Knee,,,,2B/OF/UTIL
56770-102285,OF,Cristian,Cristian Pache,Pache,2.5333333015441895,6,2200,PHI@ATL,ATL,PHI,,,,,,OF/UTIL
56770-79263,OF,Leody,Leody Taveras,Taveras,2.616666634877523,6,2200,SD@TEX,TEX,SD,,,,,,OF/UTIL
56770-5077,OF,Dexter,Dexter Fowler,Fowler,3.779999923706055,5,2200,LAA@TOR,LAA,TOR,,,,,,OF/UTIL
56770-97257,OF,Myles,Myles Straw,Straw,6.683333079020183,6,2200,OAK@HOU,HOU,OAK,,,,,,OF/UTIL
56770-68589,SS/OF,Amed,Amed Rosario,Rosario,4.599999904632568,4,2200,DET@CLE,CLE,DET,,,,,,SS/OF/UTIL
56770-82414,OF,Victor,Victor Reyes,Reyes,5.474999904632568,4,2200,DET@CLE,DET,CLE,,,,,,OF/UTIL
56770-102438,SS,Geraldo,Geraldo Perdomo,Perdomo,3.799999952316284,4,2100,CIN@ARI,ARI,CIN,,,,,,SS/UTIL
56770-81511,SS/2B,Kyle,Kyle Farmer,Farmer,3.8400001525878906,5,2100,CIN@ARI,CIN,ARI,,,,,,2B/SS/UTIL
56770-17025,2B/3B,Joe,Joe Panik,Panik,3,3,2100,LAA@TOR,TOR,LAA,,,,,,2B/3B/UTIL
56770-73871,C,Carson,Carson Kelly,Kelly,5.4,5,2100,CIN@ARI,ARI,CIN,,,,,,C/1B/UTIL
56770-102550,C,Luis,Luis Campusano,Campusano,2,3,2100,SD@TEX,SD,TEX,,,,,,C/1B/UTIL
56770-5311,C,Kurt,Kurt Suzuki,Suzuki,4.5,2,2100,LAA@TOR,LAA,TOR,,,,,,C/1B/UTIL
56770-14038,OF,Khris,Khris Davis,Davis,6.226666768391927,30,2100,SD@TEX,TEX,SD,IL,Quadriceps,,,,OF/UTIL
56770-116450,1B,Seth,Seth Brown,Brown,6,1,2100,OAK@HOU,OAK,HOU,,,,,,C/1B/UTIL
56770-83173,C,Jose,Jose Trevino,Trevino,6.849999904632568,4,2100,SD@TEX,TEX,SD,,,,,,C/1B/UTIL
56770-5359,SS,Elvis,Elvis Andrus,Andrus,1.3571428571428572,7,2100,OAK@HOU,OAK,HOU,,,,,,SS/UTIL
56770-79170,OF,Willie,Willie Calhoun,Calhoun,5.210345038052263,29,2100,SD@TEX,TEX,SD,IL,Groin,,,,OF/UTIL
56770-13691,OF,Ender,Ender Inciarte,Inciarte,1.8399999618530274,5,2100,PHI@ATL,ATL,PHI,,,,,,OF/UTIL
56770-68481,OF,Roman,Roman Quinn,Quinn,5.100000063578288,6,2100,PHI@ATL,PHI,ATL,,,,,,OF/UTIL
56770-79255,1B,Jake,Jake Bauers,Bauers,1.5,4,2100,DET@CLE,CLE,DET,,,,,,C/1B/UTIL
56770-79262,1B,Ronald,Ronald Guzman,Guzman,6.233333587646484,3,2100,SD@TEX,TEX,SD,,,,,,C/1B/UTIL
56770-79277,1B,Rowdy,Rowdy Tellez,Tellez,0.6,5,2100,LAA@TOR,TOR,LAA,,,,,,C/1B/UTIL
56770-68593,OF/2B,Jorge,Jorge Mateo,Mateo,4.3,5,2100,SD@TEX,SD,TEX,,,,,,2B/OF/UTIL
56770-145921,OF,Ka'ai,Ka'ai Tom,Tom,1.3,5,2000,OAK@HOU,OAK,HOU,,,,,,OF/UTIL
56770-97291,2B,Harold,Harold Castro,Castro,0.800000011920929,4,2000,DET@CLE,DET,CLE,,,,,,2B/UTIL
56770-81948,SS,Breyvic,Breyvic Valera,Valera,,,2000,LAA@TOR,TOR,LAA,,,,,,SS/UTIL
56770-135227,2B,Jose,Jose Rojas,Rojas,1.5,2,2000,LAA@TOR,LAA,TOR,,,,,,2B/UTIL
56770-13917,OF,Juan,Juan Lagares,Lagares,0,1,2000,LAA@TOR,LAA,TOR,,,,,,OF/UTIL
56770-116339,3B,Abraham,Abraham Toro,Toro,5.487878972833807,33,2000,OAK@HOU,HOU,OAK,,,,,,3B/UTIL
56770-118396,OF,Mark,Mark Payton,Payton,3,8,2000,CIN@ARI,CIN,ARI,,,,,,OF/UTIL
56770-13451,SS,Ronald,Ronald Torreyes,Torreyes,0,1,2000,PHI@ATL,PHI,ATL,,,,,,SS/UTIL
56770-135305,3B,Tucupita,Tucupita Marcano,Marcano,1.3142856870378767,7,2000,SD@TEX,SD,TEX,,,,,,3B/UTIL
56770-119439,C,Sam,Sam Huff,Huff,10.5,10,2000,SD@TEX,TEX,SD,IL,Hamstring,,,,C/1B/UTIL
56770-104085,2B,Josh,Josh VanMeter,VanMeter,1,6,2000,CIN@ARI,ARI,CIN,,,,,,2B/UTIL
56770-119444,C,Alejandro,Alejandro Kirk,Kirk,1,3,2000,LAA@TOR,TOR,LAA,,,,,,C/1B/UTIL
56770-114357,1B,Brian,Brian O'Grady,O'Grady,0,1,2000,SD@TEX,SD,TEX,,,,,,C/1B/UTIL
56770-82617,SS/2B,Andres,Andres Gimenez,Gimenez,1.5,4,2000,DET@CLE,CLE,DET,,,,,,2B/SS/UTIL
56770-82655,C,Danny,Danny Jansen,Jansen,4.550000190734863,4,2000,LAA@TOR,TOR,LAA,,,,,,C/1B/UTIL
56770-13535,SS/2B/3B,Ehire,Ehire Adrianza,Adrianza,0,1,2000,PHI@ATL,ATL,PHI,O,Not injury related,,,,2B/3B/SS/UTIL
56770-118497,OF,Shogo,Shogo Akiyama,Akiyama,6.364815040870949,54,2000,CIN@ARI,CIN,ARI,IL,Hamstring,,,,OF/UTIL
